date,arrive_num,acuity_1,acuity_2,acuity_3,acuity_4,acuity_5
1/1/22,240,1,48,108,73,6
1/2/22,303,5,42,137,100,15
1/3/22,281,2,51,140,77,10
1/4/22,301,7,33,130,123,7
1/5/22,306,9,50,132,95,17
1/6/22,316,4,37,157,100,17
1/7/22,286,5,30,154,89,6
1/8/22,231,3,55,102,61,4
1/9/22,236,0,22,130,72,12
1/10/22,319,5,40,153,109,11
1/11/22,300,2,38,150,99,6
1/12/22,279,2,45,130,93,6
1/13/22,259,5,41,130,73,7
1/14/22,281,1,44,152,72,12
1/15/22,223,5,38,113,60,7
1/16/22,238,2,46,118,58,13
1/17/22,280,3,41,144,84,6
1/18/22,251,4,37,138,61,7
1/19/22,250,5,49,116,70,5
1/20/22,256,2,44,136,65,6
1/21/22,259,3,32,128,89,6
1/22/22,204,3,25,114,56,1
1/23/22,228,0,55,122,49,0
1/24/22,257,3,46,126,72,8
1/25/22,238,5,45,120,62,5
1/26/22,240,2,60,104,68,3
1/27/22,243,0,54,123,59,4
1/28/22,200,4,22,116,52,5
1/29/22,201,2,42,103,50,4
1/30/22,163,3,43,79,35,2
1/31/22,246,3,46,123,68,3
2/1/22,212,1,24,119,65,2
2/2/22,242,4,33,125,76,3
2/3/22,229,5,28,122,67,5
2/4/22,241,5,38,119,73,6
2/5/22,184,1,31,90,60,1
2/6/22,238,1,53,122,58,3
2/7/22,242,3,41,121,72,5
2/8/22,234,2,42,108,77,4
2/9/22,264,4,62,148,46,4
2/10/22,244,2,40,129,70,0
2/11/22,248,3,35,135,70,5
2/12/22,226,0,33,114,76,0
2/13/22,208,4,35,114,52,0
2/14/22,271,2,40,150,71,5
2/15/22,253,4,35,131,72,11
2/16/22,255,1,28,147,72,6
2/17/22,234,3,36,130,59,3
2/18/22,225,1,25,139,57,3
2/19/22,204,3,25,113,62,0
2/20/22,207,3,35,97,59,12
2/21/22,222,1,35,108,68,9
2/22/22,219,3,30,108,72,5
2/23/22,249,6,46,133,54,10
2/24/22,205,2,39,124,38,1
2/25/22,244,6,26,129,74,6
2/26/22,189,2,33,98,47,8
2/27/22,203,7,41,97,52,2
2/28/22,248,5,36,128,74,4
3/1/22,219,3,24,120,65,4
3/2/22,227,4,33,124,64,2
3/3/22,250,2,22,160,61,5
3/4/22,250,2,32,142,69,1
3/5/22,225,0,50,101,72,2
3/6/22,192,1,34,107,39,10
3/7/22,277,3,29,157,78,6
3/8/22,236,3,31,138,59,4
3/9/22,258,3,55,132,67,1
3/10/22,254,0,48,101,97,6
3/11/22,240,3,43,114,79,1
3/12/22,199,0,26,103,65,4
3/13/22,206,3,35,130,34,2
3/14/22,258,3,34,141,73,5
3/15/22,270,5,45,143,69,8
3/16/22,253,3,45,136,59,6
3/17/22,243,4,42,135,56,2
3/18/22,239,5,47,136,44,4
3/19/22,220,4,50,113,47,4
3/20/22,213,4,37,113,52,6
3/21/22,265,5,33,138,86,3
3/22/22,236,1,38,136,55,4
3/23/22,245,2,38,123,78,4
3/24/22,272,6,50,139,65,10
3/25/22,263,3,42,159,52,6
3/26/22,218,4,25,124,61,1
3/27/22,239,3,35,124,64,6
3/28/22,263,3,49,121,83,4
3/29/22,268,1,53,121,88,3
3/30/22,238,2,34,135,55,7
3/31/22,261,6,39,141,69,4
4/1/22,222,3,27,118,65,5
4/2/22,209,1,44,107,52,1
4/3/22,197,1,37,95,49,11
4/4/22,295,5,46,171,67,3
4/5/22,264,2,49,136,72,2
4/6/22,279,2,55,125,85,9
4/7/22,241,1,39,137,54,5
4/8/22,256,5,31,147,70,3
4/9/22,242,3,45,129,60,1
4/10/22,245,0,50,119,69,5
4/11/22,265,2,26,154,73,8
4/12/22,253,3,53,123,64,6
4/13/22,228,5,33,140,47,2
4/14/22,249,4,35,145,56,7
4/15/22,218,3,44,110,56,5
4/16/22,212,4,29,105,67,6
4/17/22,230,2,31,139,51,6
4/18/22,295,1,42,130,110,10
4/19/22,279,2,37,149,82,7
4/20/22,261,2,39,138,74,6
4/21/22,219,2,28,111,67,8
4/22/22,259,5,32,135,78,6
4/23/22,206,4,19,105,69,6
4/24/22,242,3,34,133,62,5
4/25/22,275,3,37,146,82,5
4/26/22,304,1,51,170,77,4
4/27/22,277,1,37,160,69,8
4/28/22,236,1,32,123,71,8
4/29/22,245,4,50,136,45,9
4/30/22,252,6,35,138,59,8
5/1/22,240,3,39,139,52,7
5/2/22,285,3,42,152,76,10
5/3/22,288,3,60,144,72,3
5/4/22,256,2,39,137,70,6
5/5/22,298,2,68,150,65,11
5/6/22,267,0,39,126,91,7
5/7/22,236,3,33,116,73,8
5/8/22,212,1,36,114,59,1
5/9/22,282,2,43,151,77,4
5/10/22,289,2,41,152,88,5
5/11/22,251,4,35,124,81,6
5/12/22,301,1,40,170,88,1
5/13/22,256,1,44,124,83,4
5/14/22,272,4,52,126,84,6
5/15/22,225,6,37,105,69,5
5/16/22,317,7,30,150,119,7
5/17/22,263,2,45,119,91,5
5/18/22,305,3,50,181,66,2
5/19/22,244,2,29,129,79,5
5/20/22,249,5,30,135,78,0
5/21/22,221,0,46,106,62,4
5/22/22,264,1,56,129,70,7
5/23/22,322,3,55,175,82,5
5/24/22,297,0,48,145,90,12
5/25/22,258,1,37,133,78,4
5/26/22,294,3,42,136,105,7
5/27/22,241,0,38,128,71,3
5/28/22,215,3,31,123,52,2
5/29/22,231,2,43,112,66,6
5/30/22,257,1,34,130,80,10
5/31/22,304,3,44,144,99,11
6/1/22,280,4,53,144,58,16
6/2/22,253,3,38,126,79,5
6/3/22,275,4,42,143,82,4
6/4/22,222,0,34,117,66,3
6/5/22,234,2,40,110,76,5
6/6/22,306,4,43,142,106,8
6/7/22,289,1,32,150,89,14
6/8/22,272,4,72,137,55,3
6/9/22,268,2,29,162,67,8
6/10/22,268,1,40,157,60,6
6/11/22,241,0,32,128,69,10
6/12/22,261,2,36,141,74,6
6/13/22,301,0,34,167,89,9
6/14/22,271,3,41,127,81,16
6/15/22,272,2,48,136,77,7
6/16/22,246,4,51,112,70,4
6/17/22,255,1,26,135,75,11
6/18/22,245,4,32,128,80,1
6/19/22,239,5,35,125,69,5
6/20/22,279,1,47,165,57,4
6/21/22,293,1,39,171,69,9
6/22/22,281,0,26,125,113,15
6/23/22,272,1,37,145,76,8
6/24/22,248,2,37,121,83,4
6/25/22,223,2,43,123,45,9
6/26/22,270,7,42,124,81,10
6/27/22,293,4,48,158,74,6
6/28/22,262,4,29,156,71,2
6/29/22,267,2,34,146,65,19
6/30/22,285,4,38,159,78,4
7/1/22,265,3,37,139,79,4
7/2/22,255,2,25,138,80,10
7/3/22,240,1,26,122,76,12
7/4/22,222,3,31,119,60,7
7/5/22,285,0,24,160,93,5
7/6/22,304,1,32,149,103,13
7/7/22,266,1,30,157,71,6
7/8/22,302,2,39,175,78,3
7/9/22,240,2,41,127,61,7
7/10/22,252,4,37,133,68,5
7/11/22,310,1,37,168,96,6
7/12/22,267,1,34,148,72,7
7/13/22,277,2,49,146,73,6
7/14/22,265,10,26,133,80,13
7/15/22,273,2,49,143,76,1
7/16/22,257,3,41,140,63,8
7/17/22,257,2,53,124,71,5
7/18/22,280,2,51,148,75,2
7/19/22,277,2,39,141,87,7
7/20/22,261,2,37,149,67,5
7/21/22,271,2,40,143,79,2
7/22/22,290,2,41,150,88,8
7/23/22,232,8,26,113,79,5
7/24/22,246,4,27,139,65,4
7/25/22,303,1,30,174,84,11
7/26/22,242,1,48,135,52,4
7/27/22,240,0,41,130,62,2
7/28/22,253,0,39,157,50,6
7/29/22,240,2,45,133,54,2
7/30/22,215,1,45,101,65,2
7/31/22,207,3,43,106,46,7
8/1/22,271,2,35,143,83,7
8/2/22,251,2,33,147,65,4
8/3/22,217,2,36,112,62,3
8/4/22,261,3,40,143,71,1
8/5/22,250,1,51,116,70,7
8/6/22,210,3,32,120,52,2
8/7/22,216,2,38,129,43,2
8/8/22,263,2,37,134,81,6
8/9/22,281,1,27,148,98,4
8/10/22,256,4,43,129,70,7
8/11/22,278,7,37,167,62,3
8/12/22,245,2,30,127,78,4
8/13/22,248,2,45,122,69,6
8/14/22,256,3,39,148,58,4
8/15/22,286,4,26,167,84,5
8/16/22,267,3,33,156,71,3
8/17/22,290,3,52,150,76,6
8/18/22,249,3,41,126,75,1
8/19/22,289,2,60,160,59,5
8/20/22,243,6,45,118,71,3
8/21/22,246,1,31,132,79,2
8/22/22,300,2,52,160,79,6
8/23/22,307,1,37,178,86,3
8/24/22,292,4,39,163,84,2
8/25/22,292,3,43,161,73,9
8/26/22,271,2,51,142,71,3
8/27/22,251,1,43,136,66,3
8/28/22,263,2,47,138,71,3
8/29/22,315,3,37,171,101,2
8/30/22,303,2,48,160,88,3
8/31/22,258,3,35,144,70,4
9/1/22,268,1,46,154,61,3
9/2/22,257,4,50,122,75,4
9/3/22,232,3,23,130,67,6
9/4/22,241,4,49,128,54,2
9/5/22,275,0,34,159,74,2
9/6/22,293,3,47,153,85,3
9/7/22,274,4,34,148,80,5
9/8/22,288,6,42,168,66,3
9/9/22,258,5,43,158,49,3
9/10/22,242,3,33,142,51,7
9/11/22,226,0,47,110,59,9
9/12/22,282,1,41,153,78,6
9/13/22,280,6,45,139,75,9
9/14/22,262,1,41,151,60,7
9/15/22,311,6,38,167,92,6
9/16/22,265,2,47,123,90,2
9/17/22,233,5,28,149,46,4
9/18/22,232,1,44,120,63,2
9/19/22,271,3,45,128,92,2
9/20/22,276,2,36,145,86,4
9/21/22,260,2,27,126,98,5
9/22/22,266,2,37,128,88,9
9/23/22,256,7,33,135,65,11
9/24/22,228,3,49,116,52,7
9/25/22,265,2,47,132,81,2
9/26/22,327,3,57,163,100,3
9/27/22,300,4,42,159,84,7
9/28/22,298,1,34,160,83,13
9/29/22,294,6,37,144,96,10
9/30/22,267,1,24,154,78,6
10/1/22,230,3,43,127,54,0
10/2/22,254,6,32,143,69,2
10/3/22,308,12,46,155,85,5
10/4/22,253,1,49,124,74,3
10/5/22,248,1,31,136,74,4
10/6/22,285,1,44,150,85,3
10/7/22,275,1,40,137,88,4
10/8/22,240,5,43,139,51,2
10/9/22,261,4,26,155,72,3
10/10/22,311,2,30,162,110,6
10/11/22,298,1,45,153,93,4
10/12/22,271,4,37,145,74,6
10/13/22,260,4,39,137,67,9
10/14/22,254,4,30,152,61,7
10/15/22,263,2,39,153,63,5
10/16/22,258,1,37,153,63,3
10/17/22,311,0,39,169,96,5
10/18/22,294,1,31,159,96,3
10/19/22,283,1,36,167,74,4
10/20/22,274,1,36,157,68,10
10/21/22,284,4,34,145,97,2
10/22/22,246,4,36,120,79,5
10/23/22,250,3,35,124,84,4
10/24/22,298,1,45,132,117,2
10/25/22,287,2,33,162,85,1
10/26/22,277,2,28,155,85,5
10/27/22,303,4,39,170,80,5
10/28/22,251,4,31,139,70,4
10/29/22,261,0,31,144,83,2
10/30/22,267,0,31,138,95,2
10/31/22,259,2,29,131,90,1
11/1/22,282,1,34,160,81,4
11/2/22,285,1,35,161,82,3
11/3/22,246,2,32,139,65,2
11/4/22,292,4,32,184,68,2
11/5/22,282,3,37,137,99,4
11/6/22,290,2,48,150,84,3
11/7/22,332,4,35,171,107,2
11/8/22,307,3,35,165,97,2
11/9/22,315,1,40,183,88,1
11/10/22,302,1,28,145,120,7
11/11/22,299,1,39,161,91,6
11/12/22,262,1,35,153,68,4
11/13/22,280,4,21,175,75,3
11/14/22,336,6,41,173,108,4
11/15/22,314,3,57,146,102,2
11/16/22,300,1,44,146,104,1
11/17/22,307,1,40,170,84,7
11/18/22,302,7,36,177,76,4
11/19/22,295,2,39,155,95,4
11/20/22,305,2,42,162,89,5
11/21/22,337,3,63,155,111,2
11/22/22,307,1,39,161,100,2
11/23/22,322,4,48,159,102,6
11/24/22,262,0,36,134,85,3
11/25/22,338,3,49,182,100,3
11/26/22,291,6,30,149,99,5
11/27/22,313,5,54,173,77,3
11/28/22,372,6,56,167,137,2
11/29/22,318,1,58,166,88,2
11/30/22,321,5,56,150,102,5
12/1/22,303,1,37,150,101,11
12/2/22,286,1,33,156,87,8
12/3/22,280,6,44,137,90,1
12/4/22,245,6,45,117,73,0
12/5/22,278,3,31,139,100,0
12/6/22,304,1,34,161,99,4
12/7/22,225,1,27,123,69,4
12/8/22,280,1,41,154,75,5
12/9/22,275,3,34,148,83,5
12/10/22,226,1,30,120,68,4
12/11/22,214,2,28,127,56,0
12/12/22,238,0,35,134,68,1
12/13/22,261,1,23,148,83,5
12/14/22,245,0,35,149,53,3
12/15/22,278,4,48,150,67,8
12/16/22,256,0,35,160,59,1
12/17/22,250,4,45,136,60,4
12/18/22,232,1,38,134,52,4
12/19/22,244,1,44,114,78,6
12/20/22,256,3,41,145,64,0
12/21/22,250,0,37,135,73,5
12/22/22,271,1,27,153,78,8
12/23/22,243,3,40,142,44,6
12/24/22,181,0,20,100,55,5
12/25/22,261,3,44,120,84,3
12/26/22,317,1,44,160,102,9
12/27/22,258,4,39,137,69,4
12/28/22,282,1,40,168,68,2
12/29/22,266,4,40,138,74,2
12/30/22,255,1,40,138,63,13
12/31/22,212,1,26,120,60,2
1/1/23,251,2,37,139,63,8
1/2/23,252,2,42,112,89,4
1/3/23,250,0,25,152,61,8
1/4/23,282,1,57,162,58,3
1/5/23,262,2,28,165,63,1
1/6/23,240,1,40,122,70,6
1/7/23,244,2,38,146,57,1
1/8/23,226,1,42,117,65,0
1/9/23,258,1,36,126,83,4
1/10/23,259,4,30,140,76,7
1/11/23,265,0,47,143,70,4
1/12/23,244,2,44,125,72,1
1/13/23,258,1,31,148,73,1
1/14/23,239,4,41,127,58,6
1/15/23,229,0,46,113,67,2
1/16/23,281,2,42,158,73,5
1/17/23,279,2,59,148,68,2
1/18/23,277,4,30,162,72,7
1/19/23,226,4,35,119,60,6
1/20/23,245,2,26,148,65,3
1/21/23,216,3,33,132,46,2
1/22/23,214,1,44,120,46,3
1/23/23,291,0,57,149,77,6
1/24/23,273,0,55,149,62,3
1/25/23,257,0,43,139,71,2
1/26/23,260,1,22,168,57,9
1/27/23,264,2,45,149,55,11
1/28/23,232,2,37,127,58,8
1/29/23,232,0,25,144,57,1
1/30/23,295,1,43,155,90,5
1/31/23,276,0,42,157,72,4
2/1/23,273,3,42,158,62,4
2/2/23,302,4,48,157,86,5
2/3/23,270,1,43,150,64,10
2/4/23,233,2,45,124,58,2
2/5/23,247,4,53,113,69,8
2/6/23,292,3,49,148,87,5
2/7/23,296,0,41,158,92,3